Tax Year,Credit Type,Place of Residence,County,Notes,Number of Claims,Credit Amount Claimed ($000),Average Credit,Place of Residence Sort Order
2006,NYS Noncustodial Parent EITC,Schoharie,Schoharie,,18,7,410,49
2006,NYS Noncustodial Parent EITC,Schuyler,Schuyler,,13,4,310,50
2006,NYS Noncustodial Parent EITC,Seneca,Seneca,,26,12,452,51
2006,NYS Noncustodial Parent EITC,Steuben,Steuben,,99,43,430,52
2006,NYS Noncustodial Parent EITC,Suffolk,Suffolk,,176,71,404,53
2006,NYS Noncustodial Parent EITC,Sullivan,Sullivan,,38,13,353,54
2006,NYS Noncustodial Parent EITC,Tioga,Tioga,,38,13,338,55
2006,NYS Noncustodial Parent EITC,Tompkins,Tompkins,,57,26,447,56
2006,NYS Noncustodial Parent EITC,Ulster,Ulster,,68,26,384,57
2006,NYS Noncustodial Parent EITC,Warren,Warren,,74,27,367,58
2006,NYS Noncustodial Parent EITC,Washington,Washington,,66,25,381,59
2006,NYS Noncustodial Parent EITC,Wayne,Wayne,,90,32,350,60
2006,NYS Noncustodial Parent EITC,Westchester,Westchester,,77,29,381,61
2006,NYS Noncustodial Parent EITC,Wyoming,Wyoming,,42,16,379,62
2006,NYS Noncustodial Parent EITC,Yates,Yates,,21,8,397,63
2006,NYS Noncustodial Parent EITC,Unclassified,Not Applicable,d/,,,549,64
2006,NYS Noncustodial Parent EITC,Grand Total,Grand Total,,5015,1971,393,65
2005,NYC EITC,New York City - Bronx,Bronx,,160708,15943,99,1
2005,NYC EITC,New York City - Kings,Kings,,247982,23426,94,2
2005,NYC EITC,New York City - Manhattan,Manhattan,,127296,10925,86,3
2005,NYC EITC,New York City - Queens,Queens,,183163,15564,85,4
2005,NYC EITC,New York City - Richmond,Richmond,,23092,2033,88,5
2005,NYC EITC,"Total, Non-New York City Counties","Total, Non-New York City Counties",,3384,283,84,7
2005,NYC EITC,All Other *,Not Applicable,,4334,265,61,9
2005,NYC EITC,Grand Total,Grand Total,,749959,68440,91,65
2005,NYS EITC,New York City - Bronx,Bronx,,158948,91777,577,1
2005,NYS EITC,New York City - Kings,Kings,,243123,134727,554,2
2005,NYS EITC,New York City - Manhattan,Manhattan,,127266,63618,500,3
2005,NYS EITC,New York City - Queens,Queens,,179702,89622,499,4
2005,NYS EITC,New York City - Richmond,Richmond,,22772,11740,516,5
2005,NYS EITC,Albany,Albany,,16298,8268,507,7
2005,NYS EITC,Allegany,Allegany,,3252,1712,526,8
2005,NYS EITC,Broome,Broome,,12951,6562,507,9
2005,NYS EITC,Cattaraugus,Cattaraugus,,5961,3133,526,10
2005,NYS EITC,Cayuga,Cayuga,,5154,2677,519,11
2005,NYS EITC,Chautauqua,Chautauqua,,9799,5215,532,12
2005,NYS EITC,Chemung,Chemung,,6277,3286,523,13
2005,NYS EITC,Chenango,Chenango,,3979,2136,537,14
2005,NYS EITC,Clinton,Clinton,,4808,2403,500,15
2005,NYS EITC,Columbia,Columbia,,3528,1761,499,16
2005,NYS EITC,Cortland,Cortland,,3313,1695,512,17
2005,NYS EITC,Delaware,Delaware,,3252,1639,504,18
2005,NYS EITC,Dutchess,Dutchess,,11129,5244,471,19
2005,NYS EITC,Erie,Erie,,55035,29078,528,20
2005,NYS EITC,Essex,Essex,,2315,1197,517,21
2005,NYS EITC,Franklin,Franklin,,3491,1874,537,22
2005,NYS EITC,Fulton,Fulton,,4265,2217,520,23
2005,NYS EITC,Genesee,Genesee,,3611,1790,496,24
2005,NYS EITC,Greene,Greene,,2714,1314,484,25
2005,NYS EITC,Hamilton,Hamilton,,292,142,485,26
2005,NYS EITC,Herkimer,Herkimer,,4491,2400,534,27
2005,NYS EITC,Jefferson,Jefferson,,6919,3765,544,28
2005,NYS EITC,Lewis,Lewis,,1782,922,518,29
2005,NYS EITC,Livingston,Livingston,,3433,1707,497,30
2005,NYS EITC,Madison,Madison,,4145,2129,514,31
2005,NYS EITC,Monroe,Monroe,,45951,24490,533,32
2005,NYS EITC,Montgomery,Montgomery,,4083,2129,521,33
2005,NYS EITC,Nassau,Nassau,,51340,24899,485,34
2005,NYS EITC,Niagara,Niagara,,13520,6978,516,35
2005,NYS EITC,Oneida,Oneida,,15986,8542,534,36
2005,NYS EITC,Onondaga,Onondaga,,28253,15054,533,37
2005,NYS EITC,Ontario,Ontario,,5425,2775,512,38
2005,NYS EITC,Orange,Orange,,18111,10226,565,39
2005,NYS EITC,Orleans,Orleans,,2910,1533,527,40
2005,NYS EITC,Oswego,Oswego,,8694,4588,528,41
2005,NYS EITC,Otsego,Otsego,,3766,1871,497,42
2005,NYS EITC,Putnam,Putnam,,2400,947,395,43
2005,NYS EITC,Rensselaer,Rensselaer,,8546,4280,501,44
2005,NYS EITC,Rockland,Rockland,,12890,7629,592,45
2005,NYS EITC,St. Lawrence,St. Lawrence,,7331,3961,540,46
2005,NYS EITC,Saratoga,Saratoga,,8684,4228,487,47
2005,NYS EITC,Schenectady,Schenectady,,9681,5220,539,48
2005,NYS EITC,Schoharie,Schoharie,,1935,954,493,49
2005,NYS EITC,Schuyler,Schuyler,,1338,666,498,50
2005,NYS EITC,Seneca,Seneca,,2151,1116,519,51
2005,NYS EITC,Steuben,Steuben,,6975,3719,533,52
2005,NYS EITC,Suffolk,Suffolk,,64700,31704,490,53
2005,NYS EITC,Sullivan,Sullivan,,5467,2934,537,54
2005,NYS EITC,Tioga,Tioga,,3201,1620,506,55
2005,NYS EITC,Tompkins,Tompkins,,4144,1888,456,56
2005,NYS EITC,Ulster,Ulster,,9976,4701,471,57
2005,NYS EITC,Warren,Warren,,4249,2077,489,58
2005,NYS EITC,Washington,Washington,,4229,2111,499,59
2005,NYS EITC,Wayne,Wayne,,5980,3096,518,60
2005,NYS EITC,Westchester,Westchester,,38503,19486,506,61
2005,NYS EITC,Wyoming,Wyoming,,2245,1106,493,62
2005,NYS EITC,Yates,Yates,,1695,883,521,63
2005,NYS EITC,All Other *,Not Applicable,,29365,6869,234,64
2005,NYS EITC,Grand Total,Grand Total,,1347729,700028,519,65
2004,NYC EITC,New York City - Bronx,Bronx,,155574,15142,97,1
2004,NYC EITC,New York City - Kings,Kings,,243880,22460,92,2
2004,NYC EITC,New York City - Manhattan,Manhattan,,132863,11101,84,3
2004,NYC EITC,New York City - Queens,Queens,,177276,14459,82,4
2004,NYC EITC,New York City - Richmond,Richmond,,21599,1781,82,5
2004,NYC EITC,"Total, Non-New York City Counties","Total, Non-New York City Counties",,3653,282,77,7
2004,NYC EITC,All Other *,Not Applicable,,403,28,70,9
2004,NYC EITC,Grand Total,Grand Total,,735257,65256,89,65
2004,NYS EITC,New York City - Bronx,Bronx,,157360,86716,551,1
2004,NYS EITC,New York City - Kings,Kings,,246765,129082,523,2
2004,NYS EITC,New York City - Manhattan,Manhattan,,135058,63771,472,3
2004,NYS EITC,New York City - Queens,Queens,,180104,82864,460,4
2004,NYS EITC,New York City - Richmond,Richmond,,22036,10251,465,5
2004,NYS EITC,Albany,Albany,,16114,7919,491,7
2004,NYS EITC,Allegany,Allegany,,3151,1599,507,8
2004,NYS EITC,Broome,Broome,,12581,6147,489,9
2004,NYS EITC,Cattaraugus,Cattaraugus,,5958,3042,511,10
2004,NYS EITC,Cayuga,Cayuga,,5142,2552,496,11
2004,NYS EITC,Chautauqua,Chautauqua,,9834,4988,507,12
2004,NYS EITC,Chemung,Chemung,,6283,3191,508,13
2004,NYS EITC,Chenango,Chenango,,3825,1945,508,14
2004,NYS EITC,Clinton,Clinton,,4788,2317,484,15
2004,NYS EITC,Columbia,Columbia,,3626,1720,474,16
2004,NYS EITC,Cortland,Cortland,,3219,1585,492,17
2004,NYS EITC,Delaware,Delaware,,3206,1541,481,18
2004,NYS EITC,Dutchess,Dutchess,,11083,5035,454,19
2004,NYS EITC,Erie,Erie,,55184,28294,513,20
2004,NYS EITC,Essex,Essex,,2345,1150,490,21
2004,NYS EITC,Franklin,Franklin,,3577,1825,510,22
2004,NYS EITC,Fulton,Fulton,,4164,2049,492,23
2004,NYS EITC,Genesee,Genesee,,3639,1742,479,24
2004,NYS EITC,Greene,Greene,,2779,1300,468,25
2004,NYS EITC,Hamilton,Hamilton,,301,131,436,26
2004,NYS EITC,Herkimer,Herkimer,,4465,2271,509,27
2004,NYS EITC,Jefferson,Jefferson,,6928,3659,528,28
2004,NYS EITC,Lewis,Lewis,,1771,871,492,29
2004,NYS EITC,Livingston,Livingston,,3356,1587,473,30
2004,NYS EITC,Madison,Madison,,4131,2050,496,31
2004,NYS EITC,Monroe,Monroe,,45092,23216,515,32
2004,NYS EITC,Montgomery,Montgomery,,3907,1988,509,33
2004,NYS EITC,Nassau,Nassau,,52489,24133,460,34
2004,NYS EITC,Niagara,Niagara,,13433,6683,497,35
2004,NYS EITC,Oneida,Oneida,,15889,8168,514,36
2004,NYS EITC,Onondaga,Onondaga,,27820,14245,512,37
2004,NYS EITC,Ontario,Ontario,,5246,2545,485,38
2004,NYS EITC,Orange,Orange,,17989,9770,543,39
2004,NYS EITC,Orleans,Orleans,,2841,1462,515,40
2004,NYS EITC,Oswego,Oswego,,8574,4349,507,41
2004,NYS EITC,Otsego,Otsego,,3678,1793,487,42
2004,NYS EITC,Putnam,Putnam,,2431,962,396,43
2004,NYS EITC,Rensselaer,Rensselaer,,8385,4098,489,44
2004,NYS EITC,Rockland,Rockland,,12705,7042,554,45
2004,NYS EITC,St. Lawrence,St. Lawrence,,7260,3717,512,46
2004,NYS EITC,Saratoga,Saratoga,,8530,3960,464,47
2004,NYS EITC,Schenectady,Schenectady,,9494,4918,518,48
2004,NYS EITC,Schoharie,Schoharie,,1941,927,477,49
2004,NYS EITC,Schuyler,Schuyler,,1306,621,475,50
2004,NYS EITC,Seneca,Seneca,,2141,1040,486,51
2004,NYS EITC,Steuben,Steuben,,6953,3519,506,52
2004,NYS EITC,Suffolk,Suffolk,,64632,30151,466,53
2004,NYS EITC,Sullivan,Sullivan,,5489,2814,513,54
2004,NYS EITC,Tioga,Tioga,,3174,1513,477,55
2004,NYS EITC,Tompkins,Tompkins,,4178,1810,433,56
2004,NYS EITC,Ulster,Ulster,,9960,4541,456,57
2004,NYS EITC,Warren,Warren,,4209,2024,481,58
2004,NYS EITC,Washington,Washington,,4090,1966,481,59
2004,NYS EITC,Wayne,Wayne,,5942,3002,505,60
2004,NYS EITC,Westchester,Westchester,,38751,18647,481,61
2004,NYS EITC,Wyoming,Wyoming,,2185,1022,468,62
2004,NYS EITC,Yates,Yates,,1654,834,504,63
2004,NYS EITC,All Other *,Not Applicable,,10967,1972,180,64
2004,NYS EITC,Grand Total,Grand Total,,1336108,662646,496,65
2003,NYS EITC,New York City - Bronx,Bronx,,164032,91997,561,1
2003,NYS EITC,New York City - Kings,Kings,,251143,135329,539,2
2003,NYS EITC,New York City - Manhattan,Manhattan,,133040,65481,492,3
2003,NYS EITC,New York City - Queens,Queens,,182266,89547,491,4
2003,NYS EITC,New York City - Richmond,Richmond,,21463,10435,486,5
2003,NYS EITC,Albany,Albany,,15857,7704,486,7
2003,NYS EITC,Allegany,Allegany,,3211,1606,500,8
2003,NYS EITC,Broome,Broome,,12449,6012,483,9
2003,NYS EITC,Cattaraugus,Cattaraugus,,6012,3046,507,10
2003,NYS EITC,Cayuga,Cayuga,,5111,2557,500,11
2003,NYS EITC,Chautauqua,Chautauqua,,9800,4967,507,12
2003,NYS EITC,Chemung,Chemung,,6294,3166,503,13
2003,NYS EITC,Chenango,Chenango,,3996,2017,505,14
2003,NYS EITC,Clinton,Clinton,,4701,2293,488,15
2003,NYS EITC,Columbia,Columbia,,3732,1754,470,16
2003,NYS EITC,Cortland,Cortland,,3201,1560,487,17
2003,NYS EITC,Delaware,Delaware,,3291,1577,479,18
2003,NYS EITC,Dutchess,Dutchess,,11056,5059,458,19
2003,NYS EITC,Erie,Erie,,54926,27785,506,20
2003,NYS EITC,Essex,Essex,,2371,1126,475,21
2003,NYS EITC,Franklin,Franklin,,3666,1876,512,22
2003,NYS EITC,Fulton,Fulton,,4197,2047,488,23
2003,NYS EITC,Genesee,Genesee,,3574,1704,477,24
2003,NYS EITC,Greene,Greene,,2817,1293,459,25
2003,NYS EITC,Hamilton,Hamilton,,304,136,448,26
2003,NYS EITC,Herkimer,Herkimer,,4444,2241,504,27
2003,NYS EITC,Jefferson,Jefferson,,7070,3654,517,28
2003,NYS EITC,Lewis,Lewis,,1843,918,498,29
2003,NYS EITC,Livingston,Livingston,,3395,1611,474,30
2003,NYS EITC,Madison,Madison,,4130,1992,482,31
2003,NYS EITC,Monroe,Monroe,,44675,22757,509,32
2003,NYS EITC,Montgomery,Montgomery,,3815,1886,494,33
2003,NYS EITC,Nassau,Nassau,,53058,24584,463,34
2003,NYS EITC,Niagara,Niagara,,13504,6595,488,35
2003,NYS EITC,Oneida,Oneida,,15562,7871,506,36
2003,NYS EITC,Onondaga,Onondaga,,27437,13859,505,37
2003,NYS EITC,Ontario,Ontario,,5357,2536,473,38
2003,NYS EITC,Orange,Orange,,18111,9780,540,39
2003,NYS EITC,Orleans,Orleans,,2874,1470,511,40
2003,NYS EITC,Oswego,Oswego,,8525,4279,502,41
2003,NYS EITC,Otsego,Otsego,,3821,1844,483,42
2003,NYS EITC,Putnam,Putnam,,2273,933,411,43
2003,NYS EITC,Rensselaer,Rensselaer,,8511,4148,487,44
2003,NYS EITC,Rockland,Rockland,,12679,6883,543,45
2003,NYS EITC,St. Lawrence,St. Lawrence,,7173,3629,506,46
2003,NYS EITC,Saratoga,Saratoga,,8775,4109,468,47
2003,NYS EITC,Schenectady,Schenectady,,9326,4733,507,48
2003,NYS EITC,Schoharie,Schoharie,,1980,954,482,49
2003,NYS EITC,Schuyler,Schuyler,,1354,649,480,50
2003,NYS EITC,Seneca,Seneca,,2183,1070,490,51
2003,NYS EITC,Steuben,Steuben,,7156,3590,502,52
2003,NYS EITC,Suffolk,Suffolk,,64748,29982,463,53
2003,NYS EITC,Sullivan,Sullivan,,5672,2867,505,54
2003,NYS EITC,Tioga,Tioga,,3234,1548,479,55
2003,NYS EITC,Tompkins,Tompkins,,4068,1765,434,56
2003,NYS EITC,Ulster,Ulster,,10011,4668,466,57
2003,NYS EITC,Warren,Warren,,4089,1995,488,58
2003,NYS EITC,Washington,Washington,,4097,1976,482,59
2003,NYS EITC,Wayne,Wayne,,5882,2907,494,60
2003,NYS EITC,Westchester,Westchester,,39431,18950,481,61
2003,NYS EITC,Wyoming,Wyoming,,2210,1051,476,62
2003,NYS EITC,Yates,Yates,,1636,827,506,63
2003,NYS EITC,All Other *,Not Applicable,,11452,2286,200,64
2003,NYS EITC,Grand Total,Grand Total,,1348071,681471,506,65
2002,NYS EITC,New York City - Bronx,Bronx,,157673,77925,494,1
2002,NYS EITC,New York City - Kings,Kings,,245262,118139,482,2
2002,NYS EITC,New York City - Manhattan,Manhattan,,128220,56642,442,3
2002,NYS EITC,New York City - Queens,Queens,,174167,76391,439,4
2002,NYS EITC,New York City - Richmond,Richmond,,20705,8963,433,5
2002,NYS EITC,Albany,Albany,,15310,6628,433,7
2002,NYS EITC,Allegany,Allegany,,3115,1418,455,8
2002,NYS EITC,Broome,Broome,,12249,5369,438,9
2002,NYS EITC,Cattaraugus,Cattaraugus,,5858,2687,459,10
2002,NYS EITC,Cayuga,Cayuga,,5048,2258,447,11
2002,NYS EITC,Chautauqua,Chautauqua,,9705,4370,450,12
2002,NYS EITC,Chemung,Chemung,,6236,2820,452,13
2002,NYS EITC,Chenango,Chenango,,3944,1802,457,14
2002,NYS EITC,Clinton,Clinton,,4591,2066,450,15
2002,NYS EITC,Columbia,Columbia,,3559,1563,439,16
2002,NYS EITC,Cortland,Cortland,,3202,1403,438,17
2002,NYS EITC,Delaware,Delaware,,3237,1426,441,18
2002,NYS EITC,Dutchess,Dutchess,,10836,4496,415,19
2002,NYS EITC,Erie,Erie,,54200,24538,453,20
2002,NYS EITC,Essex,Essex,,2333,1004,430,21
2002,NYS EITC,Franklin,Franklin,,3537,1628,460,22
2002,NYS EITC,Fulton,Fulton,,4163,1806,434,23
2002,NYS EITC,Genesee,Genesee,,3425,1477,431,24
2002,NYS EITC,Greene,Greene,,2747,1163,423,25
2002,NYS EITC,Hamilton,Hamilton,,283,109,385,26
2002,NYS EITC,Herkimer,Herkimer,,4361,2002,459,27
2002,NYS EITC,Jefferson,Jefferson,,6990,3207,459,28
2002,NYS EITC,Lewis,Lewis,,1780,794,446,29
2002,NYS EITC,Livingston,Livingston,,3278,1394,425,30
2002,NYS EITC,Madison,Madison,,4018,1734,432,31
2002,NYS EITC,Monroe,Monroe,,43917,20031,456,32
